name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nicosia,2018-01-16,17.3,4.5,10.8,17.3,4.5,10.7,5.6,72.3,0,0,0,,0,0,,12.6,235,1024.4,59.3,10,134.2,11.4,6,,2018-01-16T06:54:19,2018-01-16T16:58:27,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17540099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-17,17.2,7.2,11.5,17.2,5.2,11.3,7.4,76.8,0.231,100,12.5,rain,0,0,,14.4,236.9,1015.7,68.5,10,123.1,10.6,5,,2018-01-17T06:54:01,2018-01-17T16:59:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,LCEN,17540099999,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-18,17.1,7.9,11.7,17.1,4.6,11.3,8,79.4,4.349,100,16.67,rain,0,0,101.9,31.9,208,1004.2,80.2,9.6,64,5.5,3,,2018-01-18T06:53:41,2018-01-18T17:00:25,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-19,14.2,5.2,10.3,14.2,2.9,9.6,-1,48,8.437,100,4.17,rain,0,0,59.4,37.9,272.6,1009.5,22,10,159.3,13.8,6,,2018-01-19T06:53:19,2018-01-19T17:01:25,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-20,16.7,2,8.7,16.7,2,8.7,2.9,69.8,0,0,0,,0,0,,11.3,25.9,1023.3,14.9,10,158.5,13.8,6,,2018-01-20T06:52:55,2018-01-20T17:02:25,0.11,Clear,Clear conditions throughout the day.,clear-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-21,15.7,4.7,10,15.7,4.4,10,5.9,77.3,0,0,0,,0,0,,17.7,47.6,1020.7,79.2,10,72.6,6.3,3,,2018-01-21T06:52:30,2018-01-21T17:03:26,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-22,18.4,9.3,13.3,18.4,8.1,13.1,8.4,73.8,0.849,100,12.5,rain,0,0,76,15.3,93.8,1008,59.7,9.4,112.7,9.7,4,,2018-01-22T06:52:02,2018-01-22T17:04:27,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-23,15.5,8,11.5,15.5,7.5,11.4,8.6,82.8,9.265,100,16.67,rain,0,0,,23.2,271.7,1008.3,67.7,9.6,122.4,10.7,5,,2018-01-23T06:51:33,2018-01-23T17:05:28,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-24,15.1,9.5,11.3,15.1,9.5,11.3,8.2,81.9,16.84,100,16.67,rain,0,0,,21.8,326.3,1014.3,89.4,9.7,66.5,5.8,3,,2018-01-24T06:51:02,2018-01-24T17:06:29,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-25,12.1,6.4,9.7,12.1,6,9.6,6.3,79.4,4.659,100,16.67,rain,0,0,,29.4,10.7,1010.1,77,9.6,38.8,3.4,2,,2018-01-25T06:50:29,2018-01-25T17:07:31,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
